City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
4,Atuona,PF,79.48,few clouds,-9.8,-139.03,Villa Enata
6,Sochi,RU,77.0,light rain,43.6,39.73,Bounty Hotel
7,Bethel,US,75.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
10,Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
12,Naliya,IN,83.07,clear sky,23.27,68.83,Hotel Panchvati
13,Dawlatabad,AF,74.46,clear sky,36.41,64.91,WASIM ASGAR KHAN
15,Gisenyi,RW,71.8,broken clouds,-1.7,29.26,Palm garden Resort
20,Tateyama,JP,80.01,light rain,34.98,139.87,Tateyama Seaside Hotel
21,Samarai,PG,78.12,light rain,-10.62,150.67,Nuli Sapi
27,Butaritari,KI,82.53,clear sky,3.07,172.79,Isles Sunset Lodge
29,Sola,VU,77.79,broken clouds,-13.88,167.55,Leumerus Bungalows
32,Boyolangu,ID,73.04,scattered clouds,-8.12,111.89,Yos ega cv
36,Mahajanga,MG,75.2,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
37,Javanrud,IR,84.2,few clouds,34.8,46.52,هتل چیا
40,Rikitea,PF,71.44,clear sky,-23.12,-134.97,Pension Maro'i
41,Dondo,MZ,71.6,few clouds,-19.61,34.74,Arco Iris
47,Ponta Do Sol,PT,73.0,broken clouds,32.67,-17.1,Hotel do Campo
49,Isangel,VU,70.27,light rain,-19.55,169.27,Volcano Sea View Tree House
50,Bosaso,SO,89.58,clear sky,11.28,49.18,Red Sea Hotel
51,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
53,Hithadhoo,MV,77.67,heavy intensity rain,-0.6,73.08,Scoop Guest House
56,Shenjiamen,CN,73.94,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
57,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
58,Puerto Del Rosario,ES,78.8,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
61,Jacarezinho,BR,90.32,scattered clouds,-23.16,-49.97,Hotel Avenida
63,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
70,Niamey,NE,89.6,scattered clouds,13.51,2.11,Soluxe Hotel Niamey
74,Puerto Ayora,EC,73.4,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
75,Katsuura,JP,80.01,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
76,Guerrero Negro,MX,81.9,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
80,Utete,TZ,73.69,clear sky,-7.99,38.76,River View Lodge
81,Beihai,CN,84.61,clear sky,21.48,109.1,21 Degree Hostel
82,San Juan Del Sur,NI,78.8,thunderstorm,11.25,-85.87,Nuestra Casa
83,Cabo San Lucas,MX,91.4,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
84,Progreso,MX,89.01,broken clouds,21.28,-89.67,Playa Linda Hotel
89,Gushikawa,JP,78.8,clear sky,26.35,127.87,Kirari Guest House
90,Cayenne,GF,78.8,light rain,4.93,-52.33,Hôtel Le Dronmi
92,Sao Joao Da Barra,BR,82.4,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
97,Iberia,US,91.99,clear sky,29.95,-91.75,back to back rv park
98,Galveston,US,90.0,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
101,La Palma,US,88.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
103,Saint-Georges,GD,84.2,broken clouds,12.06,-61.75,Siesta Hotel
106,Kaifeng,CN,71.6,broken clouds,34.79,114.35,Pullman Kaifeng Jianye
109,Arraial Do Cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
111,Auki,SB,77.14,overcast clouds,-8.77,160.7,Auki Motel
114,Bengkulu,ID,75.87,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
117,Saint George,US,90.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
120,Sao Filipe,CV,80.76,moderate rain,14.9,-24.5,Tortuga B&B
127,Sibolga,ID,76.41,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
129,Hamilton,US,81.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
130,Chiang Klang,TH,76.98,broken clouds,19.29,100.86,Sangthongresort
132,Shingu,JP,76.01,light rain,33.73,135.98,Shingu UI Hotel
134,Muros,ES,73.0,clear sky,42.78,-9.06,Apartment Av. Castelao
135,Lasa,IT,72.0,clear sky,46.62,10.7,Pension Feldgärtenhof
138,Pizarro,CO,81.3,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
140,Chavakkad,IN,80.6,light intensity drizzle,10.53,76.05,Rajah Island
141,Mecca,SA,92.64,few clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
142,Castro,BR,81.57,broken clouds,-24.79,-50.01,CHACARA BAILLY
144,Broome,US,73.0,clear sky,42.25,-75.83,Chenango Valley State Park
147,Liberal,US,84.2,clear sky,37.04,-100.92,Hampton Inn & Suites Liberal
149,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
152,Moerai,PF,74.48,broken clouds,-22.43,-151.33,Le Manotel
153,Solone,UA,78.01,few clouds,48.21,34.87,Спот для питбайков
154,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
156,Havelock,US,88.0,few clouds,34.88,-76.9,Sherwood Motel
157,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
160,Ribeira Brava,PT,73.0,broken clouds,32.65,-17.07,Hotel do Campo
162,Huron,US,75.99,clear sky,41.15,-82.55,Meadow Brook Mobile Estates
164,Texarkana,US,78.01,few clouds,33.43,-94.05,Holiday Inn Express & Suites Texarkana
165,Epiniana,GR,71.01,clear sky,39.14,21.61,ΤΟ ΠΑΝΟΡΑΜΑ ΣΤΟ ΜΠΑΛΚΟΝΙ ΤΩΝ ΑΓΡΑΦΩΝ
167,Endicott,US,73.99,clear sky,42.1,-76.05,Knights Inn Endwell
169,Ratnagiri,IN,81.46,overcast clouds,16.98,73.3,Hotel Landmark
170,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
172,Vila Velha,BR,84.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
173,Selma,US,84.99,clear sky,36.57,-119.61,Holiday Inn Selma-Swancourt
174,Puerto Plata,DO,89.6,few clouds,19.79,-70.69,Be Live Collection Marien
184,San Patricio,MX,80.6,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
185,Buala,SB,79.74,light rain,-8.14,159.59,Maringe Lagoon Lodge
189,Bolivar,US,82.99,light rain,37.61,-93.41,Comfort Inn Bolivar
190,Rutland,US,70.0,clear sky,43.62,-73.02,Comfort Inn Trolley Square
191,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
192,Shakawe,BW,75.22,clear sky,-18.37,21.85,Ditlhapi Guest House
194,Catacaos,PE,80.74,clear sky,-5.27,-80.68,Hostal Ñariwalac
196,Luanda,AO,73.4,scattered clouds,-8.84,13.23,EPIC SANA Luanda
198,Hilo,US,73.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
200,Kiunga,PG,72.73,light rain,-6.12,141.29,Airport Lodge Kiunga
201,Oranjestad,AW,89.6,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
202,Saint Anthony,US,75.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
203,Huangzhou,CN,78.8,broken clouds,30.45,114.8,Manjianghong Business Hotel
205,San Cristobal,VE,89.6,few clouds,7.77,-72.22,Pirineos
210,Mbandaka,CD,75.31,overcast clouds,0.05,18.26,Guest House Epervier
212,Balkanabat,TM,83.88,scattered clouds,39.51,54.37,Nebitchi Hotel
213,Dingle,PH,77.52,overcast clouds,11.0,122.67,Camp Pasica
215,Guarapari,BR,81.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
218,Kalemie,CD,74.79,clear sky,-5.95,29.19,Mahobilali
221,Hasaki,JP,77.0,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
226,Singapore,SG,78.8,scattered clouds,1.29,103.85,The Fullerton Hotel Singapore
229,Mapiripan,CO,86.95,moderate rain,2.89,-72.13,Monserrate
233,Torbay,CA,77.0,broken clouds,47.67,-52.73,Gallows Cove
237,Avila,ES,84.99,clear sky,40.58,-5.0,Complejo Carrrascal 2000
239,Tilaran,CR,84.2,scattered clouds,10.47,-84.97,Hotel Wilson Tilaran
242,Lorengau,PG,82.47,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
244,Hami,CN,77.45,clear sky,42.8,93.45,Laoyutang Resort
245,Tabou,CI,76.98,overcast clouds,4.42,-7.35,hotêl doufoulougou
246,Vicksburg,US,87.8,few clouds,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
247,Benguela,AO,71.6,overcast clouds,-12.58,13.41,Hotel Praia Morena
